序号,文件,相关度,相关度分值,职位,招聘主体,薪资,学历,招聘人数,专业,地区,更新时间,所属行业,公司性质,公司规模,技术关键词,同模板条数,JD指纹,详情页
104,104-储备干部（市场营销方向）-广东中塑新材料股份有限公司.md,直接相关,8,储备干部（市场营销方向）,广东中塑新材料股份有限公司,7k-9k,本科及以上,招聘 5人,高分子材料 材料科学与工程,广东省东莞市,07-23 14:18,原材料及加工（金属/木材/橡胶/塑料/玻璃/陶瓷/建材）,股份制企业,100-499人,,1,21712a4f4852,https://www.ncss.cn/student/jobs/SRUvidKb5TNNjH7BHqDCuG/detail.html
105,105-新媒体运营编辑文案编导-四川望子成龙教育科技发展集团有限公司.md,直接相关,8,新媒体运营/编辑/文案/编导,四川望子成龙教育科技发展集团有限公司,6k-8k,本科及以上,招聘 50人,专业不限,四川省成都市,07-27 09:47,教育/培训/院校,民营企业,1000-4999人,,1,af9652d51ce5,https://www.ncss.cn/student/jobs/QjC1NWUByD3eZoMLUqtg2h/detail.html
106,106-多平台电商运营（5000+班次任选五险一金）-臻宠日用品(深圳)有限公司.md,直接相关,8,多平台电商运营 （5000+ 班次任选 五险一金）,臻宠日用品(深圳)有限公司,6k-20k,专科及以上,招聘 6人,专业不限,四川省绵阳市,08-03 09:47,贸易/进出口,民营企业,50-99人,,1,8310ebae40f2,https://www.ncss.cn/student/jobs/VgAw2UuVPDD1v8pqv2ZSZP/detail.html
107,107-新媒体运营专员-长沙太易和康中医药科技有限公司.md,直接相关,8,新媒体运营专员,长沙太易和康中医药科技有限公司,2k-6k,本科及以上,招聘 2人,新闻传播学类,湖南省长沙市岳麓区,07-16 09:31,医疗/护理/卫生服务,民营企业,1-49人,,1,db88af748295,https://www.ncss.cn/student/jobs/U1Q5mJWGjFQaDNq1FTigSr/detail.html
108,108-新媒体运营实习生（毕业后留用）-厦门市明源云智慧科技有限公司.md,直接相关,8,新媒体运营实习生（毕业后留用）,厦门市明源云智慧科技有限公司,3k-3.5k,本科及以上,招聘 1人,网络与新媒体 广告学 汉语言文学,福建省厦门市湖里区,07-23 14:37,计算机软件,民营企业,1-49人,,1,7a71df2f786d,https://www.ncss.cn/student/jobs/6ntzLMxyRcEMf6SG927Tif/detail.html
109,109-新媒体运营-青岛维新科技教育有限公司.md,直接相关,8,新媒体运营,青岛维新科技教育有限公司,4k-6k,本科及以上,招聘 2人,专业不限,山东省青岛市,07-01 10:44,教育/培训/院校,民营企业,1-49人,,1,cdd6b4797e7d,https://www.ncss.cn/student/jobs/MNRz388CNP4M8gytKYhmYr/detail.html
110,110-市场营销岗（偏直播运营-中国平安财产保险股份有限公司上海分公司.md,直接相关,8,市场营销岗（偏直播运营,中国平安财产保险股份有限公司上海分公司,8k-15k,本科及以上,招聘 5人,经济管理 金融 国际贸易 保险 银行 证券 电子商务 人力资源 汉语言文学 计算机 机械,全国,08-03 10:00,保险,股份制企业,1000-4999人,,1,a9e18f910b32,https://www.ncss.cn/student/jobs/3yCjhrpZuhPp2WbBYwmQ4R/detail.html
111,111-新媒体运营（本地文创）-石河子市凌界影视文化传播有限公司.md,直接相关,8,新媒体运营（本地文创）,石河子市凌界影视文化传播有限公司,4.5k-7.5k,本科及以上,招聘 2人,影视制作 数字媒体 美术 新闻 编导,新疆石河子市,07-07 10:55,媒体/出版/影视/文化传播,民营企业,1-49人,,1,2c8f4b72403f,https://www.ncss.cn/student/jobs/83qH3Dd7mYij9BALyCXA67/detail.html
112,112-品牌运营推广-东莞澳美运动用品有限公司.md,直接相关,8,品牌运营推广,东莞澳美运动用品有限公司,5k-8k,本科及以上,招聘 1人,专业不限,广东省东莞市,07-31 10:45,娱乐/体育/休闲,民营企业,1-49人,,1,c347eb1aa3a1,https://www.ncss.cn/student/jobs/NTeUugvZCUFS9qyioc894e/detail.html
113,113-市场增长管培生-广州市天河区晓晓星火教育培训中心有限公司.md,直接相关,8,市场增长管培生,广州市天河区晓晓星火教育培训中心有限公司,6k-6.5k,本科及以上,招聘 5人,专业不限,广东省广州市,07-30 16:55,教育/培训/院校,民营企业,100-499人,,1,3e2c7686f5ef,https://www.ncss.cn/student/jobs/4NAZex38pSN7ujCkJ7wthu/detail.html
