序号,文件,相关度,相关度分值,职位,招聘主体,薪资,学历,招聘人数,专业,地区,更新时间,所属行业,公司性质,公司规模,技术关键词,同模板条数,JD指纹,详情页
153,153-新房经纪人-西安众诚盈佳房地产营销策划有限公司.md,直接相关,6,新房经纪人,西安众诚盈佳房地产营销策划有限公司,4k-30k,不限,招聘 30人,专业不限,陕西省西安市,07-31 14:27,中介服务,民营企业,1-49人,,1,a041dd28a622,https://www.ncss.cn/student/jobs/XRdk2dNBSLe57tb6NLBa4B/detail.html
154,154-文娱综合商务专员-上海云汇创智文化有限公司.md,直接相关,6,文娱综合商务专员,上海云汇创智文化有限公司,8k-15k,本科及以上,招聘 1人,表演 戏剧影视文学 戏剧影视导演 播音与主持艺术 广播电视编导 音乐表演 音乐剧 艺术管理 数字媒体艺术 影视制作 舞台设计 文化创意 文旅管理 商务 行政 公共关系学 文学 工商管理,上海市虹口区,07-30 10:59,媒体/出版/影视/文化传播,民营企业,1-49人,,1,70c18ce52dbd,https://www.ncss.cn/student/jobs/CYh8Mkp6RcVmTVyqtYF1Lt/detail.html
155,155-包住+商业地产销售-不加班-郑州汇铺行房地产营销策划有限公司.md,直接相关,6,包住+商业地产销售-不加班,郑州汇铺行房地产营销策划有限公司,4.5k-15k,专科及以上,招聘 10人,电子商务 市场营销 工商管理,河南省郑州市,07-31 11:06,房地产/建筑/建材/工程,民营企业,50-99人,,1,b0e39a27d628,https://www.ncss.cn/student/jobs/FmzDabpEag3wbJVjmu2YCd/detail.html
156,156-内容短视频运营实习生（英文短视频众筹预热方向）-深圳市方寸灵诺科技有限公司.md,直接相关,6,内容/短视频运营实习生（英文短视频/众筹预热方向）,深圳市方寸灵诺科技有限公司,8k-10k,本科及以上,招聘 1人,专业不限,广东省深圳市南山区,07-13 11:22,互联网/电子商务,股份制企业,1-49人,,1,8da08230bf9d,https://www.ncss.cn/student/jobs/2hT4vbXFdnYJJt48yWcmk9/detail.html
157,157-国内电商运营-漳州四维互联网科技有限公司.md,直接相关,6,国内电商运营,漳州四维互联网科技有限公司,3k-6k,专科及以上,招聘 3人,电子商务、市场营销、数字多媒体等,福建省漳州市龙文区,07-06 11:17,互联网/电子商务,民营企业,1-49人,,1,14806b37f545,https://www.ncss.cn/student/jobs/Ur6knYh2DiAk3tssyQiCyr/detail.html
158,158-短视频剪辑师-河南乌鸦行为品牌运营有限公司.md,直接相关,6,短视频剪辑师,河南乌鸦行为品牌运营有限公司,6k-10k,本科及以上,招聘 2人,艺术 美术 视觉传达设计 摄影 编导等,河南省郑州市,06-17 15:46,互联网/电子商务,民营企业,50-99人,,1,4519d6a099de,https://www.ncss.cn/student/jobs/Ct6ACRNEQJrrfW6gv9BWmy/detail.html
159,159-早九晚六国企车险运营专员包吃-太平洋保险在线服务科技有限公司深圳分公司.md,直接相关,6,早九晚六/国企车险运营专员/包吃,太平洋保险在线服务科技有限公司深圳分公司,6k-12k,专科及以上,招聘 5人,专业不限,广东省东莞市,08-03 09:54,投资/基金/证券/期货,国有企业,5000以上,,1,9cc4cbf040c0,https://www.ncss.cn/student/jobs/LvLQ34a5B25M9R5xZxFBaf/detail.html
160,160-电商运营助理-广州市穗从农林发展有限公司.md,直接相关,6,电商运营助理,广州市穗从农林发展有限公司,2.8k-3k,专科及以上,招聘 2人,电子商务 数字媒体,全国,07-14 09:37,农/林/牧/渔,股份制企业,1-49人,,1,4c8c0c854041,https://www.ncss.cn/student/jobs/Bxwrvm2a9QCSiDvYz8sPx5/detail.html
161,161-新媒体运营实习生（济南）-北京华恒智信人力资源顾问有限公司.md,直接相关,6,新媒体运营实习生（济南）,北京华恒智信人力资源顾问有限公司,2.2k-3.6k,不限,招聘 5人,专业不限,山东省济南市,07-23 14:26,专业服务（财会/法律/翻译/人力资源等）,民营企业,50-99人,,1,1393a309c277,https://www.ncss.cn/student/jobs/Lhk1QKCeTmNEy7mx9VyJpa/detail.html
162,162-市场推广专员-广东海翔教育科技有限公司.md,直接相关,6,市场推广专员,广东海翔教育科技有限公司,5k-9k,不限,招聘 2人,市场营销类,广东省佛山市,07-09 11:06,教育/培训/院校,民营企业,100-499人,,1,eb5c2a53dca3,https://www.ncss.cn/student/jobs/QkRRE7jNAyL7sKfYWR7Nj4/detail.html
163,163-商务专员-北京奥曼迪科技发展有限公司.md,直接相关,6,商务专员,北京奥曼迪科技发展有限公司,3k-30k,本科及以上,招聘 2人,专业不限,北京市东城区,08-03 13:50,电子技术/半导体/集成电路,民营企业,1-49人,,1,c741d9c27d52,https://www.ncss.cn/student/jobs/RhSkTDcLCeMZYLX9owSe6o/detail.html
164,164-AI内容运营（GEO推广）-长沙九地会计服务有限公司.md,直接相关,6,AI内容运营（GEO推广）,长沙九地会计服务有限公司,2k-2k,专科及以上,招聘 2人,专业不限,湖南省长沙市岳麓区,07-28 10:36,财会/审计,民营企业,1-49人,,1,e74717e8cad8,https://www.ncss.cn/student/jobs/MGYRUdD291bEkE5QpBiy8N/detail.html
165,165-山西省市场专员-广东省珠海广弘医药进出口有限公司.md,直接相关,6,山西省市场专员,广东省珠海广弘医药进出口有限公司,6k-12k,本科及以上,招聘 1人,医学、药学相关专业,山西省太原市市辖区,07-23 14:18,批发/零售,国有企业,100-499人,,1,e65d2b99f661,https://www.ncss.cn/student/jobs/RhZZ6HZsGi3HN9oUM2Y4Ka/detail.html
166,166-市场营销专员-广东嘉富数字科技有限公司.md,直接相关,6,市场营销专员,广东嘉富数字科技有限公司,3k-20k,专科及以上,招聘 10人,具备良好的沟通能力与客户服务意识；熟练使用办公软件（如Excel、PPT）；市场营销、商务管理或相关专业优先，学习能力强，能快速掌握产品知识与销售技巧。,广东省东莞市,06-26 15:12,计算机服务（系统/数据/维护/安全）,民营企业,1-49人,,1,0941c3bbd8ec,https://www.ncss.cn/student/jobs/5JMoteL3sBqDpJx9F1vk2C/detail.html
167,167-跨境电商运营助理-石家庄乐尚科技有限公司.md,直接相关,6,跨境电商运营助理,石家庄乐尚科技有限公司,4k-8k,本科及以上,招聘 6人,电子商务、物流管理、现代物流管理、金融学、工商管理、计算机科学与技术等,河北省石家庄市裕华区,06-23 09:43,互联网/电子商务,民营企业,50-99人,,1,276b34c55cb9,https://www.ncss.cn/student/jobs/42gpyPqyKonjpUx5DCHDWw/detail.html
168,168-新媒体运营-金华迎好电子科技有限公司.md,直接相关,6,新媒体运营,金华迎好电子科技有限公司,5k-7k,专科及以上,招聘 5人,电子商务,浙江省金华市,06-15 10:52,互联网/电子商务,民营企业,50-99人,,1,e99f256995db,https://www.ncss.cn/student/jobs/TdByp1e7Rn1scnRGyWERX5/detail.html
169,169-新媒体运营-优策互动（北京）文化传媒有限公司.md,直接相关,6,新媒体运营,优策互动（北京）文化传媒有限公司,4k-6k,专科及以上,招聘 人数不限,新闻 传播 广播电视编导 广告学 汉语言文学 中文 新媒体 媒体技术,北京市朝阳区,07-13 11:51,医疗/护理/卫生服务,民营企业,100-499人,,1,1d6dbe0abed1,https://www.ncss.cn/student/jobs/dv7bWMa1LVT83v4e4i7aq/detail.html
170,170-市场营销-中国平安财产保险股份有限公司上海分公司.md,直接相关,6,市场营销,中国平安财产保险股份有限公司上海分公司,8k-9k,专科及以上,招聘 10人,哲学 经济学 文学 管理学,上海市浦东新区,08-03 10:00,保险,股份制企业,1000-4999人,,1,e7c6c9ff98fc,https://www.ncss.cn/student/jobs/SVTNgzeCa7x2eH5fpnUkTT/detail.html
171,171-用户运营（实习）-武汉市洪山区普育吧培训学校.md,直接相关,6,用户运营（实习）,武汉市洪山区普育吧培训学校,3.5k-6k,不限,招聘 3人,专业不限,湖北省武汉市,07-30 13:56,教育/培训/院校,民营企业,1-49人,,1,e5035991c810,https://www.ncss.cn/student/jobs/D7zupfrGVNbR9SnZ5JsUiq/detail.html
172,172-视频账号运营专员-伊里卡纳（上海）农业有限公司.md,直接相关,6,视频账号运营专员,伊里卡纳（上海）农业有限公司,5k-8k,本科及以上,招聘 10人,广播电视、新闻、中文、市场营销,山东省青岛市,06-12 16:22,农/林/牧/渔,民营企业,1-49人,,1,3760e1d846d0,https://www.ncss.cn/student/jobs/HbnhFtaXScEvijMiHRR1Do/detail.html
173,173-抖音微信视频号等平台运营专员-北海木白装饰设计有限责任公司.md,直接相关,6,抖音/微信视频号等平台运营专员,北海木白装饰设计有限责任公司,2.8k-6k,不限,招聘 2人,市场营销 电子商务 营销相关 商务相关,广西北海市海城区,07-01 10:11,互联网/电子商务,民营企业,1-49人,,1,c8e31e239f62,https://www.ncss.cn/student/jobs/XBxFSjbdfaVVeqkD25kY3u/detail.html
174,174-市场营销-武汉悦天美科技有限公司.md,直接相关,6,市场营销,武汉悦天美科技有限公司,3k-12k,本科及以上,招聘 5人,市场营销 工商管理 人力资源 其它,湖北省武汉市,07-01 10:52,综合领域经营,民营企业,1-49人,,1,02418f27f2e6,https://www.ncss.cn/student/jobs/3KPhtDetQ8LX4xwChx2YK1/detail.html
175,175-文案策划、编辑写作-江西省雩山农业开发有限公司.md,直接相关,6,文案策划、编辑写作,江西省雩山农业开发有限公司,3k-7k,专科及以上,招聘 3人,文学 编辑,江西省抚州市,07-06 18:36,媒体/出版/影视/文化传播,民营企业,1-49人,,1,73752dd9f817,https://www.ncss.cn/student/jobs/4SGPUEB6HwRWrFDEGu9FyY/detail.html
176,176-运营专员-西安融德商贸发展有限公司.md,直接相关,6,运营专员,西安融德商贸发展有限公司,5k-8k,专科及以上,招聘 5人,专业不限,重庆市渝中区,08-02 22:29,贸易/进出口,民营企业,50-99人,,1,dc2cd93c50c1,https://www.ncss.cn/student/jobs/VyfGaHH3XZyoqVfaEQScpp/detail.html
177,177-运营专员-成都腾鑫启航企业管理有限公司.md,直接相关,6,运营专员,成都腾鑫启航企业管理有限公司,5k-8k,专科及以上,招聘 5人,专业不限,四川省成都市市辖区,08-04 10:37,投资/基金/证券/期货,民营企业,100-499人,,1,79786a7637b0,https://www.ncss.cn/student/jobs/FdGkPDHS4EyasEXsV8K18G/detail.html
178,178-品牌推广专员-中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部.md,直接相关,6,品牌推广专员,中国平安人寿保险股份有限公司上海徐汇龙漕路营销服务部,8k-15k,本科及以上,招聘 2人,计算机科学与技术 软件工程 网络工程 信息安全 物联网工程 数字媒体技术 智能科学与技术 空间信息与数字技术 电子与计算机工程 数据科学与大数据技术 网络空间安全 电影制作 保密技术 服务科学与工程 移动应用开发 人工智能技术应用 工商管理 临床医学 电子信息工程 农学 园艺 植物保护 公共事业管理 物流管理 行政管理 电子商务 广告学 科学教育 外交学,全国,08-04 09:19,投资/基金/证券/期货,国有企业,5000以上,,1,094ea1d23fe8,https://www.ncss.cn/student/jobs/A2qiS1VQNhzaQfEJwNgZpb/detail.html
179,179-小红书运营销售5600+接收实习生-广州市乐有家房产经纪有限公司.md,直接相关,5,小红书运营销售5600+接收实习生,广州市乐有家房产经纪有限公司,5k-8k,专科及以上,招聘 3人,市场营销，新媒体运营，电子商务，工商管理，房地产，土木工程，连锁经营,广东省广州市,07-31 10:18,房地产/建筑/建材/工程,民营企业,5000以上,,1,8adcff0080ca,https://www.ncss.cn/student/jobs/7SyKNjyg8yedgHHBjgchQn/detail.html
180,180-阿里巴巴国际站电商运营-云南利鲁环境建设有限公司.md,直接相关,5,阿里巴巴国际站电商运营,云南利鲁环境建设有限公司,5k-8k,本科及以上,招聘 2人,销售 市场营销 国际贸易 汉语言文字 汉语言文学 英语,云南省昆明市,08-01 11:35,环保,民营企业,500-999人,,1,613e96860769,https://www.ncss.cn/student/jobs/QGjvhwfcNnu95dQb2GEoPX/detail.html
181,181-校园学术运营助理-温斯顿合创（山东省）人工智能科技有限公司.md,直接相关,5,校园学术运营助理,温斯顿合创（山东省）人工智能科技有限公司,5k-10k,本科及以上,招聘 100人,计算机类 电子信息类 自动化类 电气类 机械类 土木类 交通运输类 航空航天类 船舶与海洋工程类 控制科学与工程 仪器类 材料类 化工与制药类 环境科学与工程类 能源动力类 矿业类 安全科学与工程类 测绘类 水利类 建筑类 工商管理类 金融学类 经济学类 会计学 财务管理 法学类 教育学类 中国语言文学类 新闻传播学类 外国语医学类 护理学类 药学类 公共言文学类 数学类 统计学类 物理学类 化学类 生物科学类,全国,07-14 09:56,学术/科研,外商独资/外企代表处,1-49人,,1,770d62322c14,https://www.ncss.cn/student/jobs/TwJez6uEGuSBE7Er7H9ctE/detail.html
182,182-资深商务经理（残疾人安置方向）-领头羊（深圳）专业技术有限公司.md,直接相关,5,资深商务经理（残疾人安置方向）,领头羊（深圳）专业技术有限公司,5k-8k,专科及以上,招聘 7人,市场营销、工商管理、心理学、传播学，及相关专业,广东省深圳市龙华区,06-23 09:36,教育/培训/院校,股份制企业,50-99人,,1,af3d837a79c7,https://www.ncss.cn/student/jobs/Xx5nzDPZ1knx11MLu2Satm/detail.html
183,183-短视频推广专员商铺方向-成都万云盛通房地产经纪有限公司.md,直接相关,5,短视频推广专员/商铺方向,成都万云盛通房地产经纪有限公司,3k-6k,专科及以上,招聘 5人,市场营销 建筑工程技术 工程造价 工程监理 工商企业管理,四川省成都市,07-30 10:12,房地产/建筑/建材/工程,民营企业,100-499人,,1,49bc0b7cf787,https://www.ncss.cn/student/jobs/8fdKSc19DXENLb6ZZaPPBV/detail.html
184,184-用户运营-广州市天河区晓晓星火教育培训中心有限公司.md,直接相关,5,用户运营,广州市天河区晓晓星火教育培训中心有限公司,8k-12k,专科及以上,招聘 5人,专业不限,广东省广州市,07-30 16:55,教育/培训/院校,民营企业,100-499人,,1,cd3b7e2a970b,https://www.ncss.cn/student/jobs/NsNSCjsNoA8THp6pqKKinU/detail.html
185,185-大客户专员-重庆益市电子商务有限公司.md,直接相关,5,大客户专员,重庆益市电子商务有限公司,3k-10k,专科及以上,招聘 2人,专业不限,重庆市江北区,07-28 10:50,互联网/电子商务,民营企业,1-49人,,1,deb2ff0fee69,https://www.ncss.cn/student/jobs/TG8ocnUU8LYVnEjqZcyM7b/detail.html
186,186-包住不加班-短视频运营专员-郑州汇铺行房地产营销策划有限公司.md,直接相关,5,包住不加班-短视频运营专员,郑州汇铺行房地产营销策划有限公司,4k-7k,专科及以上,招聘 2人,电子商务 设计专业 市场营销,河南省郑州市,07-10 16:05,房地产/建筑/建材/工程,民营企业,50-99人,,1,5d30c4e33f98,https://www.ncss.cn/student/jobs/PnP8JWnkB7TTgCmSnP2pGe/detail.html
187,187-数据分析实习生（2027届）-露乐健康科技（上海）有限公司.md,直接相关,5,数据分析实习生（2027届）,露乐健康科技（上海）有限公司,3k-4k,本科及以上,招聘 1人,统计学 数学 计算机 经济学等相关专业,上海市闵行区,07-21 15:46,快速消费品（食品/饮料/日化/烟酒）,民营企业,1000-4999人,,1,fc56e1bf7da5,https://www.ncss.cn/student/jobs/6dNHscqpxJv954Zsr2amUM/detail.html
188,188-公关专员-浙江菱格木业有限公司.md,直接相关,5,公关专员,浙江菱格木业有限公司,3k-6k,专科及以上,招聘 2人,新闻学,浙江省湖州市,06-08 10:36,家居/室内设计/装饰装潢,民营企业,500-999人,,1,a783e1b062a2,https://www.ncss.cn/student/jobs/6wkGmEsyCoxQgXNGEU8wyw/detail.html
189,189-社群运营-厦门游旭网络科技有限公司.md,直接相关,5,社群运营,厦门游旭网络科技有限公司,5.5k-12k,专科及以上,招聘 3人,不限，（电子商务优先）,福建省厦门市,07-31 18:10,互联网/电子商务,民营企业,1-49人,,1,67d066c54595,https://www.ncss.cn/student/jobs/Fa6BYnKVvmwiTAMutFKM92/detail.html
190,190-运营专员-浙江枫阁文旅科技有限责任公司.md,直接相关,5,运营专员,浙江枫阁文旅科技有限责任公司,3k-5k,专科及以上,招聘 2人,专业不限,浙江省绍兴市,07-20 15:04,媒体/出版/影视/文化传播,民营企业,50-99人,,1,99912ede2e16,https://www.ncss.cn/student/jobs/YVcgyPgPAfzsh1cwWnAgn2/detail.html
191,191-小语种跨境电商运营助理-杭州启迪电子商务有限公司.md,直接相关,5,小语种跨境电商运营助理,杭州启迪电子商务有限公司,3k-6k,本科及以上,招聘 10人,语言专业,浙江省杭州市,07-16 09:35,互联网/电子商务,民营企业,50-99人,,1,24141c196e59,https://www.ncss.cn/student/jobs/THNErPsUCgwfmZ1WWCzjfV/detail.html
192,192-药品市场推广专员-吉林省吉鹏医疗科技有限公司.md,直接相关,5,药品市场推广专员,吉林省吉鹏医疗科技有限公司,3k-6k,专科及以上,招聘 5人,医药相关专业优先,吉林省长春市市辖区,06-12 15:57,制药/生物工程,民营企业,1-49人,,1,cde9bcd27f59,https://www.ncss.cn/student/jobs/XbQxxCWYdsGKbokZrzoZNH/detail.html
193,193-财经公关客户助理-友扬企业形象策划（上海）有限公司.md,直接相关,5,财经公关客户助理,友扬企业形象策划（上海）有限公司,2k-4k,本科及以上,招聘 2人,传播 金融 广告 财经,广东省深圳市,07-30 09:55,广告/公关/会展,外商独资/外企代表处,1-49人,,1,b2899aba74cd,https://www.ncss.cn/student/jobs/AM4sTW3J3dhhS9rdUniaqv/detail.html
194,194-新媒体运营专员-山东美硕资讯有限公司.md,直接相关,5,新媒体运营专员,山东美硕资讯有限公司,4k-5k,本科及以上,招聘 10人,相关专业,山东省淄博市,07-24 13:18,专业服务（财会/法律/翻译/人力资源等）,民营企业,50-99人,,1,d4cfcf5b0490,https://www.ncss.cn/student/jobs/QjsaY6eF9QmK4aibdWiK4d/detail.html
195,195-本地内容运营兼职-湖南惜福吧网络科技有限公司.md,直接相关,5,本地内容运营兼职,湖南惜福吧网络科技有限公司,0.1k-21k,不限,招聘 人数不限,专业不限,全国,07-28 16:03,计算机软件,民营企业,1-49人,,1,9970c8494c4f,https://www.ncss.cn/student/jobs/2gUtGotweswaLVFFDcDnPA/detail.html
196,196-自媒体运营-深圳市凡可为科技有限公司.md,直接相关,5,自媒体运营,深圳市凡可为科技有限公司,2.5k-5k,本科及以上,招聘 2人,产品设计 广告 新闻 平面设计 传媒,全国,07-29 10:35,互联网/电子商务,民营企业,1-49人,,1,ccb8c2d78fa7,https://www.ncss.cn/student/jobs/ApEYaRpy4rdv8AtkcM5TUT/detail.html
197,197-营销管培生-长沙梯西爱迩销售有限公司.md,直接相关,5,营销管培生,长沙梯西爱迩销售有限公司,4k-10k,本科及以上,招聘 10人,不限,湖南省长沙市,08-03 11:23,家电业,民营企业,50-99人,,1,123d1d6e9861,https://www.ncss.cn/student/jobs/WgAXuEUG3gD8At8Ww8sPWC/detail.html
198,198-品牌商务专员-天津华声企讯网络科技有限公司.md,直接相关,5,品牌商务专员,天津华声企讯网络科技有限公司,6k-10k,专科及以上,招聘 10人,互联网 市场营销 经济 传媒 品牌公关 公共关系,天津市河东区,07-30 11:20,互联网/电子商务,民营企业,50-99人,,1,614a69a7a157,https://www.ncss.cn/student/jobs/LgozADGburSPTVACt2Hn1A/detail.html
199,199-运营专员（六险+高提成)-南昌拉瑞斯金属科技有限公司.md,直接相关,5,运营专员（六险+高提成),南昌拉瑞斯金属科技有限公司,5k-10k,专科及以上,招聘 2人,专业不限,江西省南昌市,07-07 10:38,批发/零售,民营企业,1-49人,,1,6bf34c563de8,https://www.ncss.cn/student/jobs/SCsBEcLuPkKYXNmgNZwFeN/detail.html
200,200-豪宅运营销售-北京伍洲公寓管理有限公司.md,直接相关,5,豪宅运营销售,北京伍洲公寓管理有限公司,4k-8k,专科及以上,招聘 5人,专业不限,北京市朝阳区,07-21 15:52,租赁服务,民营企业,100-499人,,1,8a36c39cc82b,https://www.ncss.cn/student/jobs/H6qjodQHtozp2hL4q37PTf/detail.html
201,201-商务专员-钱潮智造（芜湖）有限公司.md,直接相关,5,商务专员,钱潮智造（芜湖）有限公司,7.5k-12k,本科及以上,招聘 2人,市场营销 国际金融与贸易 小语种,安徽省芜湖市鸠江区,07-08 10:54,机械制造/机电/重工,民营企业,500-999人,,1,dfc3d0ccd5ac,https://www.ncss.cn/student/jobs/QSfKEayoANxfMNUoRn1Rc9/detail.html
202,202-小程序运营专员-中国平安财产保险股份有限公司上海分公司.md,直接相关,5,小程序运营专员,中国平安财产保险股份有限公司上海分公司,6k-9k,专科及以上,招聘 5人,哲学 经济学 教育学 文学 工学 管理学 艺术类,上海市浦东新区,08-03 10:00,保险,股份制企业,1000-4999人,,1,6755c30aaf6d,https://www.ncss.cn/student/jobs/6CVTamznEsQbA9pmjupPew/detail.html
203,203-短视频运营-北京伍洲公寓管理有限公司.md,直接相关,5,短视频运营,北京伍洲公寓管理有限公司,4k-12k,专科及以上,招聘 3人,专业不限,北京市朝阳区,07-20 16:15,租赁服务,民营企业,100-499人,,1,0aa1a637c316,https://www.ncss.cn/student/jobs/7Q9Bz5Gokp8TADYarvisjt/detail.html
204,204-电商运营助理-天津怡浓食品有限公司.md,直接相关,5,电商运营助理,天津怡浓食品有限公司,4k-6k,专科及以上,招聘 1人,专业不限,天津市武清区,06-09 10:03,快速消费品（食品/饮料/日化/烟酒）,民营企业,100-499人,,1,dfd0152bfb99,https://www.ncss.cn/student/jobs/MCDMsuen4cTUTGCbQAniPH/detail.html
205,205-电商运营专员（业务岗）-贵州宅尚电子商务有限公司.md,直接相关,5,电商运营专员（业务岗）,贵州宅尚电子商务有限公司,5k-8k,专科及以上,招聘 6人,专业不限,四川省成都市青羊区,08-02 22:29,互联网/电子商务,民营企业,100-499人,,1,ebdea817c620,https://www.ncss.cn/student/jobs/Cq5gM99A4Y4tn54AqYbdQQ/detail.html
206,206-市场营销-扬帆集团股份有限公司.md,直接相关,5,市场营销,扬帆集团股份有限公司,6k-8k,本科及以上,招聘 3人,市场营销 英语 商务英语 国际经济与贸易 工商管理 跨境营销 等相关专业,浙江省舟山市普陀区,07-16 15:37,机械制造/机电/重工,民营企业,500-999人,,1,955599892fb1,https://www.ncss.cn/student/jobs/R9WuGg4p5vwr6CtXr65VBx/detail.html
207,207-市场营销-扬帆集团股份有限公司.md,直接相关,5,市场营销,扬帆集团股份有限公司,6k-8k,本科及以上,招聘 3人,商务英语 市场营销 等相关专业,浙江省舟山市普陀区,07-17 15:17,机械制造/机电/重工,民营企业,500-999人,,1,037e5958383b,https://www.ncss.cn/student/jobs/AUWFK21xepAVUjibJN4gtM/detail.html
208,208-市场营销-扬帆集团股份有限公司.md,直接相关,5,市场营销,扬帆集团股份有限公司,6k-8k,本科及以上,招聘 3人,市场营销 跨境电子商务 国际经济与贸易 商务英语 等营销类专业,浙江省舟山市普陀区,07-16 15:37,机械制造/机电/重工,民营企业,500-999人,,1,2a2f24ef645f,https://www.ncss.cn/student/jobs/MWhfrsj5aQ9Qd8zfZLyKhv/detail.html
209,209-市场助理-北京易低优科技有限公司.md,直接相关,5,市场助理,北京易低优科技有限公司,6k-12k,专科及以上,招聘 10人,无,北京市东城区,08-03 15:26,教育/培训/院校,民营企业,50-99人,,1,cb2b9726f699,https://www.ncss.cn/student/jobs/AW3N1777rX875x6A2NzYS6/detail.html
210,210-电商运营-广州瀚进贸易有限责任公司.md,直接相关,5,电商运营,广州瀚进贸易有限责任公司,5k-8k,专科及以上,招聘 5人,专业不限,四川省成都市市辖区,08-04 08:59,互联网/电子商务,民营企业,100-499人,,1,6d8513bc5283,https://www.ncss.cn/student/jobs/T4zkvCT2YxpKEGjKPJRirR/detail.html
211,211-电商运营-滕州启芯电子科技有限公司.md,直接相关,5,电商运营,滕州启芯电子科技有限公司,6k-8k,专科及以上,招聘 5人,专业不限,四川省成都市市辖区,08-04 10:54,互联网/电子商务,民营企业,100-499人,,1,8a73e5ef8bfe,https://www.ncss.cn/student/jobs/8ACDRffMvQamLG6uiqyQcp/detail.html
212,212-市场专员-武汉悦天美科技有限公司.md,直接相关,5,市场专员,武汉悦天美科技有限公司,3k-12k,本科及以上,招聘 10人,专业不限,全国,07-01 10:52,综合领域经营,民营企业,1-49人,,1,645c3ebc2fc9,https://www.ncss.cn/student/jobs/6BRpqdimHRtipxmKasciKv/detail.html
213,213-品牌策划助理-辽宁新途客运服务有限公司.md,直接相关,5,品牌策划助理,辽宁新途客运服务有限公司,5k-7k,专科及以上,招聘 3人,专业不限,辽宁省葫芦岛市市辖区,07-29 09:52,交通/运输,机关/事业单位/非营利机构,100-499人,,1,ae0860bd0405,https://www.ncss.cn/student/jobs/LiYDNTJ15kjwD5d5TQN6L7/detail.html
214,214-运营主管门店店长-天津市创之鸿装饰工程有限公司.md,直接相关,5,运营主管/门店店长,天津市创之鸿装饰工程有限公司,5k-10k,本科及以上,招聘 1人,专业不限,天津市南开区,07-20 10:39,家居/室内设计/装饰装潢,民营企业,50-99人,,1,9cda01717200,https://www.ncss.cn/student/jobs/4KYrZ8ZrTWX2mu6LArntJ3/detail.html
215,215-新媒体运营专员-致公教育信息咨询（淮安）有限公司.md,直接相关,5,新媒体运营专员,致公教育信息咨询（淮安）有限公司,6k-8k,专科及以上,招聘 5人,电子商务 网络与新媒体 汉语言文学 艺术设计,江苏省淮安市,08-03 10:22,教育/培训/院校,民营企业,50-99人,,1,6fb644c891dd,https://www.ncss.cn/student/jobs/7hGcTW2RWyLAjFEH4b8uw2/detail.html
216,216-电子商务运营专员-上海简兮酒店管理有限公司.md,直接相关,5,电子商务运营专员,上海简兮酒店管理有限公司,8k-15k,本科及以上,招聘 2人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类 不限专业,全国,07-09 14:23,酒店/餐饮,民营企业,1-49人,,1,bf58096c1fda,https://www.ncss.cn/student/jobs/MfrydduH1ca2dd1Uak7f3x/detail.html
217,217-线上运营专员-上海简兮酒店管理有限公司.md,直接相关,5,线上运营专员,上海简兮酒店管理有限公司,8k-15k,本科及以上,招聘 2人,哲学 逻辑学 宗教学 伦理学 经济学 财政学 金融学 经济与贸易 金融学 金融工程 国际经济与贸易 体育学 教育学 科学教育 人文教育 教育技术学 艺术教育 学前教育 小学教育 特殊教育 华文教育 中国语言文学 外国语言文学 新闻传播学 汉语言文学 汉语言 汉语国际教育 中国少数民族语言文学 古典文献学 应用语言学 秘书学 力学 能源动力 电气 电子信息 自动化 计算机 土木 水利 测绘 农门学 医学类,全国,07-16 10:53,酒店/餐饮,民营企业,1-49人,,1,0143e149647b,https://www.ncss.cn/student/jobs/JTHEbSehFM1K6Dp8Uc2yKn/detail.html
218,218-市场营销（欢迎各大高校应届毕业生，明确销售意向可联系我）？-浙江华企信息科技有限公司南通分公司.md,直接相关,4,市场营销（欢迎各大高校应届毕业生，明确销售意向可联系我）？,浙江华企信息科技有限公司南通分公司,10k-15k,专科及以上,招聘 5人,市场营销 工商管理 电子商务 旅游管理 计算机,江苏省南通市,07-07 21:08,计算机服务（系统/数据/维护/安全）,民营企业,500-999人,,1,02ee8a83e305,https://www.ncss.cn/student/jobs/8fLtUoufX3mMfNCXVYJnj9/detail.html
219,219-北京研发市场专员-北京道生济医疗设备有限公司.md,直接相关,4,北京研发市场专员,北京道生济医疗设备有限公司,8k-12k,硕士及以上,招聘 2人,医学 中医学 临床医学 外科学 生物医学工程（临床方向） 机械 工程 护理学 机械制造 工业设计 机械工程 生物工程,北京市石景山区,07-29 10:47,医疗设备/器械,民营企业,50-99人,,1,81105351745f,https://www.ncss.cn/student/jobs/mXUnKf8nm49hYrS94o5CR/detail.html
